"","Date","Amount","Description","Category","Budget"
"115","2020/03/05",-261.41,"D264 ATM at Scotiabank Cancun","Cash","Basics"
"313","2019/12/18",-258.03,"Wal Mart","Groceries","Basics"
"358","2019/12/06",-200,"Mountain Americ ATM At","Cash","Basics"
"55","2020/04/02",-158.17,"Smiths Food","Groceries","Basics"
"76","2020/03/26",-155.5,"Smiths","Groceries","Basics"
"387","2019/11/28",-154.08,"Smiths Food","Groceries","Basics"
"108","2020/03/09",-151.48,"Bankaool ATM at Bankaool Oxxotulum","Cash","Basics"
"268","2020/01/09",-150,"Venmo Payment","Cash","Basics"
"442","2019/11/11",-137.25,"Smiths Mrktpl","Groceries","Basics"
"6","2020/04/24",-135,"Smiths Food","Groceries","Basics"
"366","2019/12/04",-131.22,"Smiths Mrktpl","Groceries","Basics"
"267","2020/01/10",-129.88,"The Front Climbing Gym","Memberships","Basics"
"563","2019/10/02",-128.88,"Smiths Food","Groceries","Basics"
"278","2019/12/30",-127.14,"Venmo Payment","Cash","Basics"
"103","2020/03/10",-124.88,"The Front Climbing Gym","Memberships","Basics"
"198","2020/02/10",-124.88,"The Front Climbing Gym","Memberships","Basics"
"346","2019/12/10",-124.88,"The Front Climbing Gym","Memberships","Basics"
"445","2019/11/10",-124.88,"The Front Climbing Gym","Memberships","Basics"
"396","2019/11/24",-122.88,"Fresh Market Granger","Groceries","Basics"
"72","2020/03/28",-115,"Cubes Millcreek","Storage","Basics"
"142","2020/02/28",-115,"Cubes Millcreek","Storage","Basics"
"233","2020/01/30",-115,"Cubes Millcreek","Storage","Basics"
"283","2019/12/28",-115,"Cubes Millcreek","Storage","Basics"
"383","2019/11/29",-115,"Cubes Millcreek","Storage","Basics"
"140","2020/02/28",-106.67,"Smiths Food","Groceries","Basics"
"203","2020/02/08",-102.24,"Smiths Food","Groceries","Basics"
"225","2020/02/03",-100,"Venmo Payment","Cash","Basics"
"327","2019/12/14",-97.13,"Smiths Food","Groceries","Basics"
"519","2019/10/17",-93.5,"Dan's Foods","Groceries","Basics"
"212","2020/02/05",-91.92,"Smiths Food","Groceries","Basics"
"250","2020/01/25",-89.39,"State Farm Insurance","Auto Insurance","Basics"
"421","2019/11/19",-88.41,"Dan's Foods","Groceries","Basics"
"231","2020/01/30",-87.53,"Smiths Food","Groceries","Basics"
"482","2019/11/01",-87.17,"Wasatch Propane","Gas & Fuel","Basics"
"253","2020/01/22",-86.32,"61000009 ATM at Kho Bac Ninh Hai duNinh Thuan","Cash","Basics"
"256","2020/01/22",-86.32,"61000009 ATM at Kho Bac Ninh Hai duNinh Thuan","Cash","Basics"
"262","2020/01/21",-86.32,"58000027 ATM at Nha Ga San Bay quocNha Trang","Cash","Basics"
"187","2020/02/12",-81.74,"Smiths Food","Groceries","Basics"
"289","2019/12/27",-76.08,"Bishop Paiute Gas Stati Bishop Ca","Gas","Basics"
"514","2019/10/22",-75.11,"Sprouts Farmers Mkt","Groceries","Basics"
"4","2020/04/25",-74.33,"State Farm Insurance","Auto Insurance","Basics"
"80","2020/03/25",-74.33,"State Farm Insurance","Auto Insurance","Basics"
"58","2020/04/01",-71.66,"Smiths Food","Groceries","Basics"
"441","2019/11/11",-71.59,"Smiths Mrktpl","Groceries","Basics"
"163","2020/02/24",-70.78,"Smiths Food","Groceries","Basics"
"538","2019/10/09",-69.88,"Trader Joe's 350 Qps","Groceries","Basics"
"87","2020/03/21",-64.61,"Smiths Food","Groceries","Basics"
"462","2019/11/04",-63.83,"Trader Joe's 350 Qps","Groceries","Basics"
"329","2019/12/14",-63.12,"Chevron 0200218 Salt Lake Citut","Gas","Basics"
"227","2020/02/02",-62.72,"Wal Mart Super Center","Groceries","Basics"
"391","2019/11/27",-61.87,"Wm Supercenter","Gas","Basics"
"151","2020/02/25",-61.72,"State Farm Insurance","Auto Insurance","Basics"
"62","2020/03/30",-61.4,"Target T","Groceries","Basics"
"292","2019/12/25",-60.52,"State Farm Insurance","Auto Insurance","Basics"
"393","2019/11/26",-60.52,"State Farm Insurance","Auto Insurance","Basics"
"508","2019/10/25",-60.52,"State Farm Insurance","Auto Insurance","Basics"
"235","2020/01/30",-60.38,"Chevron 0200218 Salt Lake Citut","Gas","Basics"
"389","2019/11/27",-60,"Venmo Payment","Cash","Basics"
"529","2019/10/11",-56.8,"Smiths Food","Groceries","Basics"
"370","2019/12/04",-55.83,"Chevron 0205178 Sandy Ut","Gas","Basics"
"217","2020/02/04",-55.73,"prAna Living","Clothing","Basics"
"296","2019/12/25",-55.08,"Chevron 0301989 Draper Ut","Gas","Basics"
"279","2019/12/30",-55,"Maverik","Gas","Basics"
"522","2019/10/14",-54.46,"Fresh Market 21St South","Groceries","Basics"
"99","2020/03/17",-54.34,"Smiths Food","Groceries","Basics"
"507","2019/10/25",-54.04,"Maverik","Gas","Basics"
"376","2019/12/02",-54,"Maverik 362 Cedar City Ut","Gas","Basics"
"400","2019/11/24",-53.45,"Sprouts Farmers Mkt","Groceries","Basics"
"439","2019/11/11",-52.71,"Smiths Mrktpl","Groceries","Basics"
"435","2019/11/13",-52.36,"Chevron 0204564 Lehi Ut","Gas","Basics"
"281","2019/12/29",-52.33,"29 Palms Gas","Gas","Basics"
"428","2019/11/18",-52.31,"Wal Mart","Gas","Basics"
"447","2019/11/09",-52.25,"Dan's Foods","Groceries","Basics"
"517","2019/10/18",-51.98,"Maverik","Gas","Basics"
"348","2019/12/10",-51.8,"Smiths Food","Groceries","Basics"
"277","2019/12/30",-51.63,"Wm Supercenter","Groceries","Basics"
"223","2020/02/03",-51.02,"Maverik 554 Orem Ut","Gas","Basics"
"201","2020/02/09",-50.74,"Wal Mart","Groceries","Basics"
"183","2020/02/13",-50.69,"Maverik 304 Draper Ut","Gas","Basics"
"543","2019/10/05",-50.54,"Ernie's Too Bountiful","Gas","Basics"
"69","2020/03/29",-50.15,"Love's Country Store","Gas","Basics"
"175","2020/02/14",-50,"The Front Climbing Gym","Memberships","Basics"
"427","2019/11/18",-49.51,"Maverik Cntry Stre Moab Ut","Gas","Basics"
"301","2019/12/23",-48.4,"Trader Joe's 350 Qps","Groceries","Basics"
"318","2019/12/18",-48.09,"Smiths Food","Groceries","Basics"
"202","2020/02/08",-47.7,"Smiths Fuel","Gas","Basics"
"39","2020/04/06",-46.96,"Chevron 0201054 Wellington Ut","Gas","Basics"
"528","2019/10/11",-46.95,"Maverik","Gas","Basics"
"535","2019/10/09",-46.66,"Smiths Mrktpl","Groceries","Basics"
"34","2020/04/09",-46.11,"Smiths Food","Groceries","Basics"
"155","2020/02/24",-45.93,"Maverik 280 Lehi Ut","Gas","Basics"
"84","2020/03/23",-45.86,"Chevron 0301989 Draper Ut","Gas","Basics"
